"Geneid","Length"
"KCNF1",2289
"FLJ33534",1635
"C2orf50",1056
"PQLC3",1956
"ROCK2",6401
"LINC00570",1330
"E2F6",3450
"GREB1",10329
"MIR4429",73
"NTSR2",1608
"LPIN1",6461
"MIR548S",82
"MIR4262",54
"LOC100506457",2777
"MIR3681",72
"TRIB2",4406
"MIR3125",78
"LOC100506474",1944
"LINC00276",3503
"FAM84A",6353
"LOC653602",2058
"NBAS",7300
"DDX1",2741
"LOC101926966",1871
"MYCNUT",1040
"MYCNOS",1908
"MYCN",3038
"GACAT3",984
"FAM49A",4699
"RAD51AP2",3589
"VSNL1",2005
"SMC6",5259
"GEN1",6425
"MSGN1",582
"KCNS3",2551
"RDH14",1600
"NT5C1B-RDH14",2988
"NT5C1B",2927
"MIR4757",77
"OSR1",1894
"LINC00954",3015
"TTC32",819
"WDR35",6944
"LOC101928222",1150
"MATN3",2583
"LAPTM4A",1765
"SDC1",3373
"PUM2",6493
"RHOB",2373
"HS1BP3-IT1",600
"HS1BP3",2403
"GDF7",1994
"LDAH",3981
"APOB",14121
"TDRD15",7160
"LOC645949",2127
"LOC102723362",439
"KLHL29",5084
"ATAD2B",8187
"UBXN2A",1893
"MFSD2B",1508
"C2orf44",3894
"FKBP1B",996
"SF3B6",771
"FAM228B",1622
"TP53I3",2034
"PFN4",1536
"FAM228A",1834
"ITSN2",6738
"NCOA1",6951
"PTRHD1",572
"CENPO",4244
"ADCY3",4396
"DNAJC27",4992
"DNAJC27-AS1",4674
"EFR3B",7458
"POMC",1295
"DNMT3A",5664
"MIR1301",82
"DTNB",2733
"ASXL2",7174
"KIF3C",5431
"RAB10",3785
"GAREML",5939
"HADHA",3037
"HADHB",2271
"ADGRF3",5399
"EPT1",8129
"DRC1",2491
"OTOF",7449
"C2orf70",695
"CIB4",745
"KCNK3",3978
"SLC35F6",3912
"CENPA",1429
"DPYSL5",5354
"MAPRE3",2387
"TMEM214",3040
"AGBL5-AS1",407
"AGBL5",3415
"OST4",485
"EMILIN1",3932
"KHK",2550
"CGREF1",2698
"ABHD1",1446
"PREB",2164
"PRR30",2063
"TCF23",786
"SLC5A6",3604
"ATRAID",1398
"CAD",7114
"SLC30A3",2093
"DNAJC5G",2026
"TRIM54",2060
"UCN",615
"MPV17",1007
"GTF3C2",3958
"GTF3C2-AS1",841
"EIF2B4",1896
"SNX17",2698
"ZNF513",2354
"PPM1G",2302
"FTH1P3",954
"NRBP1",2199
"KRTCAP3",1068
"IFT172",5467
"FNDC4",1671
"GCKR",2188
"C2orf16",6201
"ZNF512",3703
"CCDC121",2844
"GPN1",1969
"SUPT7L",4740
"SLC4A1AP",2970
"MRPL33",518
"RBKS",2390
"BRE-AS1",1659
"BRE",2103
"MIR4263",83
"LOC100505736",2256
"LOC100505716",2110
"FLJ31356",2850
"FOSL2",3991
"PLB1",5180
"PPP1CB",4998
"SPDYA",2156
"TRMT61B",1843
"WDR43",3531
"SNORD92",89
"SNORD53",76
"FAM179A",3548
"C2orf71",7046
"CLIP4",5162
"ALK",6265
"YPEL5",2617
"LBH",2938
"LOC285043",692
"LCLAT1",5482
"CAPN13",2681
"GALNT14",3417
"CAPN14",3822
"EHD3",3906
"XDH",5717
"SRD5A2",2445
"MEMO1",1973
"DPY30",800
"SPAST",5213
"SLC30A6",4965
"NLRC4",3517
"YIPF4",1965
"BIRC6",15702
"MIR558",94
"BIRC6-AS2",588
"TTC27",2918
"MIR4765",77
"LINC00486",2474
"LOC100271832",1391
"LTBP1",6348
"MIR4430",49
"RASGRP3",5293
"FAM98A",2813
"LINC01317",772
"MYADML",2157
"LINC01320",1131
"LOC100288911",716
"CRIM1",5611
"FEZ2",2092
"VIT",3446
"STRN",14110
"HEATR5B",6804
"GPATCH11",3906
"EIF2AK2",4345
"SULT6B1",934
"CEBPZOS",3335
"CEBPZ",3327
"NDUFAF7",2211
"PRKD3",5902
"QPCT",1703
"CDC42EP3",5898
"LINC00211",2488
"RMDN2",3324
"RMDN2-AS1",526
"CYP1B1",5153
"CYP1B1-AS1",1753
"ATL2",4711
"LOC101929596",1132
"HNRNPLL",3035
"GALM",2483
"SRSF7",2489
"GEMIN6",692
"DHX57",4825
"MORN2",741
"ARHGEF33",4304
"LOC375196",1057
"SOS1",8318
"CDKL4",1567
"MAP4K3",4362
"LOC728730",2517
"TMEM178A",1830
"THUMPD2",2345
"SLC8A1-AS1",1002
"SLC8A1",6244
"LOC388942",1810
"LOC101929723",898
"C2orf91",3721
"PKDCC",2501
"LOC102723824",1460
"EML4",5561
"COX7A2L",1114
"KCNG3",3824
"MTA3",6724
"OXER1",1763
"HAAO",1284
"LOC102723854",2156
"ZFP36L2",3693
"LINC01126",1645
"THADA",6786
"PLEKHH2",6954
"C1GALT1C1L",1170
"DYNC2LI1",1936
"ABCG5",2740
"ABCG8",2665
"LRPPRC",6619
"PPM1B",5389
"SLC3A1",2320
"PREPL",7373
"CAMKMT",1555
"MIR548AD",30
"SIX3-AS1",1169
"SIX3",2523
"SIX2",2154
"LINC01121",1098
"SRBD1",3694
"PRKCE",5520
"EPAS1",5166
"LOC101805491",741
"TMEM247",680
"ATP6V1E2",1979
"RHOQ",4542
"LOC100506142",1518
"PIGF",1133
"CRIPT",6366
"SOCS5",4662
"LINC01118",1043
"LINC01119",1210
"MCFD2",4696
"TTC7A",5773
"C2orf61",2384
"CALM2",4855
"LOC101927043",2749
"EPCAM",1718
"MIR559",96
"MSH2",3209
"KCNK12",1424
"HCG2040054",434
"MSH6",4479
"FBXO11",4149
"FOXN2",5463
"PPP1R21",3215
"STON1-GTF2A1L",4132
"STON1",5633
"GTF2A1L",1702
"LHCGR",3093
"FSHR",2774
"MIR548BA",56
"NRXN1",10626
"MIR8485",91
"MIR4431",94
"ASB3",2818
"GPR75-ASB3",1966
"CHAC2",1275
"ERLEC1",2582
"MIR3682",84
"GPR75",2159
"PSME4",7099
"ACYP2",1222
"TSPYL6",3095
"C2orf73",1921
"SPTBN1",13024
"RPL23AP32",620
"EML6",7852
"RTN4",5202
"CLHC1",5418
"RPS27A",1373
"MTIF2",3018
"PRORSD1P",2153
"CCDC88A",9816
"CFAP36",1383
"PPP4R3B",5608
"PNPT1",4613
"EFEMP1",3094
"MIR217HG",685
"MIR217",110
"MIR216A",110
"MIR216B",82
"LOC100129434",2863
"CCDC85A",3983
"VRK2",2912
"FANCL",1732
"LINC01122",4296
"LOC101927285",2036
"MIR4432",84
"BCL11A",7446
"PAPOLG",7386
"LINC01185",1705
"REL",7827
"PUS10",3810
"PEX13",4515
"KIAA1841",5518
"LOC339803",2557
"C2orf74",976
"AHSA2",3031
"USP34",11310
"SNORA70B",134
"XPO1",4830
"FAM161A",3860
"CCT4",2349
"COMMD1",713
"B3GNT2",2749
"MIR5192",92
"TMEM17",1925
"EHBP1",5397
"LOC100132215",2162
"OTX1",3067
"DBIL5P2",1692
"WDPCP",3455
"MDH1",1883
"UGP2",2437
"VPS54",3994
"PELI1",3767
"LINC00309",3306
"LOC100507006",780
"MIR4433B",102
"MIR4433A",81
"LGALSL",3827
"AFTPH",4123
"MIR4434",53
"LOC339807",1771
"SERTAD2",5548
"LOC101927438",1982
"LOC400958",3029
"SLC1A4",4778
"CEP68",5862
"RAB1A",2643
"ACTR2",3937
"SPRED2",4650
"MIR4778",80
"LOC729348",1675
"MEIS1-AS3",4099
"MEIS1",3181
"MEIS1-AS2",701
"LOC100507073",765
"LOC101927577",860
"LOC101060019",629
"LOC102724321",429
"LOC102800447",686
"LOC644838",2100
"LOC101927661",531
"ETAA1",3283
"LOC101927701",725
"C1D",1284
"WDR92",2898
"PNO1",1981
"PPP3R1",3011
"CNRIP1",2312
"PLEK",2852
"FBXO48",2712
"APLF",3849
"PROKR1",1182
"ARHGAP25",3411
"BMP10",1584
"GKN2",800
"GKN1",820
"ANTXR1",7123
"MIR3126",74
"GFPT1",8703
"NFU1",1194
"AAK1",21265
"SNORA36C",127
"ANXA4",2142
"GMCL1",2346
"SNRNP27",1438
"MXD1",5616
"ASPRV1",2174
"PCBP1-AS1",2386
"PCBP1",1750
"LOC100133985",661
"C2orf42",2524
"TIA1",4653
"PCYOX1",5377
"SNRPG",579
"FAM136A",1807
"TGFA",4765
"TGFA-IT1",492
"ADD2",5943
"FIGLA",722
"CLEC4F",2474
"CD207",1872
"LINC01143",650
"VAX2",1146
"ATP6V1B1",1939
"ATP6V1B1-AS1",944
"ANKRD53",2120
"TEX261",3367
"OR7E91P",1230
"NAGK",1801
"MCEE",870
"MPHOSPH10",2485
"PAIP2B",6300
"ZNF638",6840
"DYSF",7278
"CYP26B1",4556
"EXOC6B",2594
"SPR",1459
"EMX1",2188
"SFXN5",4140
"RAB11FIP5",4342
"NOTO",1448
"SMYD5",2567
"PRADC1",1083
"CCT7",2032
"FBXO41",6928
"EGR4",2373
"ALMS1",12922
"ALMS1-IT1",1761
"NAT8",1073
"ALMS1P",1592
"NAT8B",832
"TPRKB",752
"DUSP11",1639
"C2orf78",3045
"STAMBP",6791
"ACTG2",1331
"DGUOK",1144
"DGUOK-AS1",571
"TET3",11387
"BOLA3",554
"BOLA3-AS1",4190
"MOB1A",1329
"MTHFD2",2285
"SLC4A5",6396
"DCTN1",5272
"DCTN1-AS1",2144
"C2orf81",2229
"WDR54",1119
"RTKN",2849
"INO80B",1261
"INO80B-WBP1",2112
"WBP1",1223
"MOGS",2895
"MRPL53",655
"CCDC142",4339
"TTC31",2929
"LBX2",1678
"LBX2-AS1",2449
"PCGF1",906
"TLX2",2152
"DQX1",2634
"AUP1",1911
"HTRA2",2550
"LOXL3",3790
"DOK1",2406
"M1AP",2795
"SEMA4F",6107
"HK2",7093
"LINC01291",494
"POLE4",696
"TACR1",4993
"MIR5000",103
"EVA1A",2102
"LOC101927884",1185
"MRPL19",7827
"GCFC2",4999
"LRRTM4",4816
"LOC101927907",997
"LOC101927967",676
"LOC101927926",634
"SNAR-H",120
"LOC101927948",1103
"REG3G",955
"REG1B",806
"REG1A",808
"REG1P",2925
"REG3A",1097
"LOC101927987",669
"CTNNA2",4754
"MIR4264",66
"MIR8080",89
"LRRTM1",2212
"LOC100507201",843
"LOC1720",967
"FUNDC2P2",1519
"SUCLG1",1457
"DNAH6",12795
"TRABD2A",4297
"TMSB10",482
"KCMF1",7553
"TCF7L1",2918
"TGOLN2",6424
"RETSAT",3311
"ELMOD3",3095
"CAPG",1677
"SH2D6",894
"PARTICL",1420
"MAT2A",3006
"GGCX",7462
"VAMP8",776
"VAMP5",665
"RNF181",716
"TMEM150A",1554
"USP39",2795
"C2orf68",4265
"SFTPB",3667
"GNLY",1087
"ATOH8",5863
"MIR6071",78
"LOC284950",3108
"ST3GAL5",2448
"ST3GAL5-AS1",1116
"LOC90784",3653
"POLR1A",6637
"PTCD3",6734
"SNORD94",137
"IMMT",3001
"MIR4779",83
"MRPL35",3311
"REEP1",3913
"KDM3A",4918
"CHMP3",3192
"RNF103-CHMP3",3373
"RNF103",5096
"RMND5A",6183
"CD8A",3673
"CD8B",1869
"ANAPC1P1",1771
"RGPD2",11002
"RGPD1",13387
"PLGLB2",6029
"PLGLB1",6021
"LOC285074",2201
"MIR4771-2",148
"MIR4771-1",148
"LINC00152",952
"MIR4435-1",160
"MIR4435-2",148
"KRCC1",1827
"SMYD1",4429
"MIR4780",81
"FABP1",563
"THNSL2",2317
"FOXI3",1262
"TEX37",796
"LOC101928371",1747
"EIF2AK3",4648
"RPIA",1834
"ANKRD36BP2",1730
"MIR4436A",85
"LOC654342",605
"GGT8P",2484
"ACTR3BP2",1338
"FAM95A",2398
"ANKRD20A8P",3670
"LOC442028",3330
"TEKT4",2218
"MAL",1137
"MRPS5",1661
"ZNF514",3204
"ZNF2",4013
"PROM2",4732
"KCNIP3",3017
"FAHD2A",1298
"TRIM43B",1668
"TRIM43",1625
"LINC00342",3128
"ANKRD36C",8072
"FAHD2CP",852
"GPAT2",2824
"ADRA2B",3362
"ASTL",1296
"DUSP2",1685
"STARD7",3379
"STARD7-AS1",2483
"TMEM127",4593
"CIAO1",4036
"SNRNP200",7219
"ITPRIPL1",2502
"NCAPH",6059
"NEURL3",2069
"ARID5A",2206
"KANSL3",5544
"FER1L5",6467
"LMAN2L",2442
"CNNM4",4800
"MIR3127",76
"CNNM3",4916
"ANKRD23",2582
"ANKRD39",898
"SEMA4C",3552
"FAM178B",3007
"LOC101927053",2260
"FAHD2B",1265
"ANKRD36",6268
"LOC100506076",1664
"LOC100506123",1410
"ANKRD36B",5986
"COX5B",505
"ACTR1B",2258
"LINC01125",1369
"ZAP70",2543
"TMEM131",6642
"VWA3B",4747
"CNGA3",3848
"INPP4A",6998
"COA5",1767
"UNC50",1142
"MGAT4A",8515
"LOC101927070",2117
"KIAA1211L",3869
"TSGA10",3832
"C2orf15",1408
"LIPT1",2019
"MITD1",910
"MRPL30",4536
"LYG2",868
"LYG1",990
"TXNDC9",1530
"EIF5B",4698
"REV1",4734
"AFF3",8212
"LINC01104",3115
"LONRF2",13912
"CHST10",2854
"NMS",485
"PDCL3",1075
"NPAS2",4004
"LOC101927142",771
"RPL31",1481
"TBC1D8",4147
"CNOT11",2518
"SNORD89",114
"RNF149",2968
"MIR5696",85
"CREG2",3488
"RFX8",1729
"MAP4K4",7998
"LINC01127",996
"IL1R2",1699
"IL1R1",5311
"IL1RL2",1964
"IL1RL1",5001
"IL18R1",3718
"IL18RAP",2671
"MIR4772",78
"SLC9A4",4138
"SLC9A2",5460
"MFSD9",2706
"TMEM182",3588
"LOC100287010",1084
"LINC01102",1505
"LINC01103",1459
"LINC01114",2437
"LINC01158",2948
"POU3F3",4506
"LINC01159",3971
"LOC102724691",642
"MRPS9",1458
"UTAT33",573
"GPR45",1725
"TGFBRAP1",5683
"C2orf49",4371
"FHL2",2251
"LOC285000",1416
"NCK2",2667
"C2orf40",782
"UXS1",2806
"PLGLA",841
"RGPD3",5873
"ST6GAL2",7068
"MIR548AU",107
"GACAT1",811
"RGPD4-AS1",1581
"RGPD4",7172
"SLC5A7",5166
"LINC01594",611
"SULT1C3",915
"SULT1C2",2890
"SULT1C2P1",1874
"SULT1C4",1664
"GCC2",6977
"LIMS1",5513
"RANBP2",11711
"CCDC138",2529
"EDAR",4214
"SH3RF3-AS1",2792
"SH3RF3",5614
"MIR4265",99
"MIR4266",55
"SEPT10",3256
"SOWAHC",4654
"RGPD6",15618
"RGPD5",22745
"LIMS3-LOC440895",6434
"LIMS3L",6258
"LIMS3",6258
"LOC440895",1712
"LOC100288570",1712
"LINC01123",5037
"MIR4267",82
"MALL",3061
"MIR4436B1",182
"MIR4436B2",182
"NPHP1",2750
"LINC00116",1619
"LOC100507334",881
"LINC01106",2182
"BUB1",3636
"ACOXL",2373
"LOC400997",3212
"BCL2L11",6212
"MIR4435-2HG",1105
"ANAPC1",7736
"MERTK",3626
"TMEM87B",5212
"FBLN7",2299
"ZC3H8",1604
"ZC3H6",11539
"RGPD8",7299
"TTL",5163
"POLR1B",5503
"CHCHD5",742
"FLJ42351",514
"SLC20A1",3377
"CKAP2L",4790
"IL1A",2928
"IL1B",1498
"IL37",838
"IL36G",1212
"IL36A",477
"IL36B",1869
"IL36RN",2801
"IL1F10",1413
"IL1RN",2113
"PSD4",5039
"PAX8",4055
"PAX8-AS1",4621
"CBWD2",1827
"FOXD4L1",2067
"PGM5P3-AS1",1280
"PGM5P4-AS1",1391
"FAM138B",1130
"MIR1302-3",138
"WASH2P",1958
"DDX11L2",2305
"RPL23AP7",1873
"RABL2A",2218
"SLC35F5",4927
"MIR4782",79
"LOC101060091",590
"ACTR3",5881
"LOC100499194",2316
"LINC01191",852
"DPP10",6218
"DPP10-AS3",756
"DPP10-AS1",730
"DDX18",3765
"CCDC93",6929
"INSIG2",2583
"LOC101927709",1167
"EN1",2962
"MARCO",1835
"C1QL2",2049
"STEAP3",4352
"STEAP3-AS1",3218
"C2orf76",950
"DBI",1436
"TMEM37",1687
"SCTR",1823
"CFAP221",3170
"TMEM177",1738
"PTPN4",11380
"EPB41L5",9935
"TMEM185B",5938
"RALB",2261
"INHBB",3203
"LINC01101",2015
"GLI2",6769
"TFCP2L1",9286
"CLASP1",8188
"RNU4ATAC",130
"NIFK-AS1",2697
"NIFK",1738
"TSN",3515
"CNTNAP5",5374
"GYPC",2067
"BIN1",2714
"CYP27C1",4685
"ERCC3",3009
"MAP3K2",10870
"PROC",1780
"MIR4783",82
"IWS1",3000
"MYO7B",6715
"LIMS2",3090
"GPR17",2599
"SFT2D3",2811
"WDR33",11218
"POLR2D",2325
"AMMECR1L",4776
"SAP130",4173
"UGGT1",10960
"HS6ST1",3952
"LOC101927881",1091
"LOC151121",2256
"LOC389033",401
"LOC101927924",2398
"RAB6C-AS1",2460
"RAB6C",3077
"FAR2P1",4524
"POTEF",4337
"MED15P9",1835
"CCDC74B",1553
"SMPD4",4913
"MZT2B",933
"TUBA3E",1540
"CCDC115",2489
"IMP4",1049
"PTPN18",3669
"FAR2P2",2855
"CYP4F62P",2412
"POTEI",3228
"CFC1B",2320
"LOC646743",4458
"TISP43",4430
"CFC1",1672
"POTEJ",3277
"CYP4F30P",2249
"GPR148",1267
"AMER3",6474
"ARHGEF4",4247
"FAM168B",5406
"PLEKHB2",4472
"POTEE",3440
"LOC440910",1739
"WTH3DI",3667
"LINC01120",3055
"LOC401010",2734
"RNU6-81P",48
"TUBA3D",1632
"MZT2A",693
"MIR4784",77
"LOC150776",3788
"CCDC74A",1668
"POTEKP",621
"LINC01087",3516
"C2orf27A",1219
"C2orf27B",1325
"ANKRD30BL",2168
"MIR663B",115
"ZNF806",1867
"GPR39",2821
"LYPD1",3002
"NCKAP5",7594
"MIR7853",103
"LOC101928161",531
"MIR3679",68
"MGAT5",8145
"TMEM163",1893
"ACMSD",1357
"MIR5590",54
"CCNT2-AS1",1405
"CCNT2",7010
"MAP3K19",4377
"RAB3GAP1",4938
"ZRANB3",7058
"R3HDM1",4893
"MIR128-1",82
"UBXN4",4014
"LCT",6274
"LOC100507600",1862
"MCM6",3787
"DARS",3157
"DARS-AS1",1126
"CXCR4",2005
"THSD7B",5845
"LOC101928273",1301
"HNMT",4178
"SPOPL",5734
"NXPH2",2560
"YY1P2",1851
"LRP1B",16531
"MIR7157",60
"KYNU",2014
"ARHGAP15",1759
"LOC101928386",1051
"GTDC1",4565
"ZEB2",11656
"ZEB2-AS1",429
"LINC01412",423
"TEX41",4786
"PABPC1P2",3934
"ACVR2A",5443
"ORC4",7039
"MBD5",6016
"EPC2",3641
"KIF5C",7296
"LYPD6B",1573
"LYPD6",4308
"MMADHC",1437
"LOC101929231",861
"RND3",2807
"LOC101929260",2528
"LOC101929282",936
"RBM43",3914
"NMI",1479
"LOC101929319",1878
"TNFAIP6",1424
"MIR4773-1",78
"MIR4773-2",78
"RIF1",10179
"NEB",26307
"ARL5A",3169
"CACNB4",8362
"STAM2",5701
"FMNL2",5575
"PRPF40A",7528
"ARL6IP6",2826
"RPRM",1471
"GALNT13",5847
"LOC100144595",2362
"KCNJ3",4885
"LOC101929378",1807
"NR4A2",3531
"GPD2",6155
"GALNT5",3131
"ERMN",4161
"CYTIP",2210
"ACVR1C",9077
"ACVR1",3112
"UPP2",2579
"CCDC148-AS1",795
"CCDC148",2979
"PKP4",4771
"DAPL1",543
"TANC1",7512
"MIR6888",67
"WDSUB1",2135
"BAZ2B",10723
"LOC643072",2456
"MARCH7",3840
"LY75-CD302",8919
"CD302",3979
"LY75",6930
"PLA2R1",6619
"ITGB6",4687
"LOC100505984",504
"RBMS1",4286
"MIR4785",73
"TANK",2335
"LOC101929512",574
"LOC100996579",2377
"PSMD14",1717
"TBR1",3186
"AHCTF1P1",8836
"SLC4A10",5801
"DPP4",3900
"LOC101929532",3603
"GCG",1294
"FAP",2786
"IFIH1",3600
"GCA",3225
"KCNH7",4331
"LOC101929570",2999
"FIGN",4535
"GRB14",3030
"COBLL1",9759
"SNORA70F",135
"LOC101929633",629
"SLC38A11",1790
"SCN3A",9217
"SCN2A",9191
"CSRNP3",12040
"GALNT3",3267
"LOC100506124",1595
"TTC21B",5477
"TTC21B-AS1",746
"LOC102724058",740
"SCN1A",8342
"LOC101929680",2304
"SCN9A",9760
"SCN7A",7280
"XIRP2",13021
"XIRP2-AS1",1871
"LOC105616981",922
"B3GALT1",2168
"STK39",3274
"CERS6",6851
"MIR4774",76
"CERS6-AS1",2985
"NOSTRIN",2819
"SPC25",1346
"G6PC2",3081
"ABCB11",4775
"DHRS9",2286
"LRP2",15735
"BBS5",3157
"KLHL41",2464
"FASTKD1",3012
"PPIG",2706
"CCDC173",2169
"PHOSPHO2",1373
"PHOSPHO2-KLHL23",4206
"KLHL23",4075
"SSB",2195
"METTL5",1027
"UBR3",7953
"MYO3B",6365
"LOC101929753",1311
"LOC101926913",588
"LINC01124",2129
"SP5",1947
"ERICH2",2205
"GAD1",3669
"GORASP2",3265
"TLK1",6032
"METTL8",8134
"DCAF17",5828
"CYBRD1",4402
"DYNC1I2",4670
"SLC25A12",3998
"HAT1",1670
"METAP1D",1534
"DLX1",2382
"DLX2",2304
"DLX2-AS1",950
"ITGA6",5810
"PDK1",5825
"RAPGEF4-AS1",4621
"RAPGEF4",5142
"ZAK",9858
"MLK7-AS1",2537
"CDCA7",2810
"SP3",6695
"OLA1",4356
"LINC01305",3122
"SP9",1455
"CIR1",1793
"SCRN3",3053
"GPR155",7599
"WIPF1",4711
"CHRNA1",2056
"CHN1",3310
"ATF2",4852
"MIR933",77
"ATP5G3",3482
"KIAA1715",8258
"EVX2",1617
"HOXD13",2327
"HOXD12",813
"HOXD11",1463
"HOXD10",1804
"HOXD9",1885
"HOXD8",2629
"HOXD-AS2",692
"MIR10B",110
"HOXD4",1296
"HOXD3",2299
"HAGLR",4660
"HAGLROS",673
"HOXD1",1975
"MIR7704",59
"MTX2",1592
"MIR1246",73
"LINC01116",1058
"LINC01117",656
"HNRNPA3",5808
"MIR4444-1",146
"MIR4444-2",146
"NFE2L2",3342
"MIR3128",66
"LOC100130691",5206
"MIR6512",77
"AGPS",7665
"TTC30B",2644
"TTC30A",4669
"PDE11A",9790
"RBM45",1815
"OSBPL6",7457
"MIR548N",79
"LOC101927027",3033
"PRKRA",2172
"DFNB59",1524
"FKBP7",2904
"PLEKHA3",2469
"TTN-AS1",6390
"TTN",116854
"LOC101927055",1956
"CCDC141",9127
"SESTD1",10448
"ZNF385B",4334
"MIR1258",73
"CWC22",3279
"SCHLAP1",1675
"UBE2E3",2097
"LOC101927156",1765
"MIR4437",60
"ITGA4",6076
"CERKL",3288
"NEUROD1",3002
"SSFA2",7936
"PPP1R1C",3948
"PDE1A",6263
"DNAJC10",6851
"FRZB",2767
"NCKAP1",5015
"DUSP19",5365
"NUP35",2006
"MIR548AE1",70
"ZNF804A",4685
"LOC101927196",1468
"FSIP2",21054
"LINC01473",602
"ZC3H15",2133
"ITGAV",7210
"FAM171B",3555
"ZSWIM2",2446
"CALCRL",6155
"TFPI",4141
"LINC01090",496
"GULP1",4221
"MIR561",97
"DIRC1",1454
"COL3A1",5490
"MIR1245A",69
"MIR1245B",68
"MIR3606",63
"COL5A2",6930
"MIR3129",76
"WDR75",2732
"SLC40A1",3355
"ASNSD1",2471
"ANKAR",4416
"OSGEPL1",2316
"OSGEPL1-AS1",915
"ORMDL1",2182
"PMS1",3647
"MSTN",2819
"C2orf88",4472
"HIBCH",1939
"INPP1",2163
"MFSD6",4797
"NEMP2",3637
"NAB1",4469
"GLS",7406
"STAT1",4583
"STAT4",3089
"MYO1B",5095
"NABP1",4016
"LOC105747689",1893
"SDPR",3250
"TMEFF2",5781
"PCGEM1",1590
"LOC101927406",1083
"LOC101927431",2852
"SLC39A10",5525
"DNAH7",12394
"STK17B",5307
"HECW2",7241
"LOC101927482",1503
"CCDC150",3685
"LOC100130452",506
"GTF3C3",4819
"C2orf66",2256
"PGAP1",11113
"ANKRD44",6449
"ANKRD44-IT1",1069
"SF3B1",5969
"COQ10B",1974
"HSPD1",2436
"HSPE1-MOB4",4279
"HSPE1",953
"MOB4",3947
"RFTN2",3113
"MARS2",3087
"BOLL",3616
"PLCL1",6608
"LOC101927619",2811
"SATB2",6337
"SATB2-AS1",3316
"LOC101927641",2346
"FTCDNL1",952
"C2orf69",3728
"TYW5",5370
"C2orf47",1511
"SPATS2L",7133
"KCTD18",2937
"SGOL2",4676
"AOX1",4933
"AOX2P",3733
"LOC100507140",2050
"LOC101927795",877
"BZW1",3669
"CLK1",3794
"PPIL3",1272
"NIF3L1",1740
"ORC2",3652
"FAM126B",9333
"NDUFB3",778
"CFLAR",15921
"CFLAR-AS1",1041
"CASP10",6684
"CASP8",3641
"ALS2CR12",2345
"TRAK2",6527
"STRADB",2322
"ALS2CR11",7407
"TMEM237",5763
"MPP4",2458
"ALS2",8341
"CDK15",4789
"FZD7",3851
"KIAA2012",4029
"SUMO1",1527
"NOP58",1965
"SNORD70",88
"SNORD11B",112
"SNORD11",84
"BMPR2",12070
"FAM117B",5773
"ICA1L",8958
"WDR12",2282
"CARF",6265
"NBEAL1",9058
"CYP20A1",10943
"ABI2",6927
"RAPH1",10501
"CD28",4886
"CTLA4",1975
"ICOS",2643
"PARD3B",8174
"NRP2",7719
"INO80D",14136
"GCSHP3",1000
"NDUFS1",3572
"EEF1B2",1110
"SNORD51",70
"SNORA41",132
"GPR1",2648
"GPR1-AS",3708
"ZDBF2",10505
"ADAM23",6225
"LOC200726",1376
"DYTN",2051
"MDH1B",2831
"FASTKD2",6943
"MIR3130-1",75
"MIR3130-2",75
"CPO",1209
"KLF7",8880
"MIR2355",87
"MIR7845",99
"LOC101927865",601
"MIR1302-4",150
"CREB1",9779
"METTL21A",5539
"CCNYL1",3911
"MIR4775",75
"FZD5",6564
"PLEKHM3",9807
"LOC100507443",437
"CRYGD",707
"CRYGC",629
"CRYGB",626
"CRYGA",606
"C2orf80",1214
"IDH1",2781
"IDH1-AS1",491
"PIKFYVE",10435
"PTH2R",3108
"MAP2",9989
"UNC80",13562
"RPE",3407
"KANSL1L",4743
"LOC101928020",1542
"ACADL",2490
"MYL1",1151
"LANCL1-AS1",2169
"LANCL1",4610
"CPS1",6166
"CPS1-IT1",2305
"ERBB4",11923
"MIR548F2",98
"LOC102725079",1123
"MIR4776-2",80
"MIR4776-1",80
"IKZF2",9657
"LOC100130451",1726
"SPAG16",2991
"MIR4438",93
"VWC2L",908
"VWC2L-IT1",480
"BARD1",5506
"LOC101928103",2240
"ABCA12",9370
"ATIC",2084
"FN1",8993
"LOC102724849",822
"LINC00607",3690
"MREG",3213
"PECR",1874
"TMEM169",3461
"XRCC5",3430
"PKI55",3304
"MARCH4",4450
"SMARCAL1",3318
"RPL37A",418
"LINC01280",1617
"IGFBP2",1429
"IGFBP5",6239
"TNP1",401
"LOC101928327",393
"DIRC3",3906
"TNS1",10276
"MIR6809",116
"RUFY4",3729
"CXCR2P1",2136
"CXCR2",2940
"CXCR1",2486
"ARPC2",1571
"GPBAR1",2003
"AAMP",1835
"PNKD",3745
"TMBIM1",2349
"MIR6513",64
"CATIP-AS2",1183
"MIR6810",70
"CATIP",1323
"CATIP-AS1",547
"SLC11A1",3852
"CTDSP1",2780
"MIR26B",77
"VIL1",2738
"USP37",8032
"RQCD1",3858
"PLCD4",3237
"ZNF142",6233
"BCS1L",1720
"RNF25",1561
"STK36",4935
"TTLL4",4996
"CYP27A1",2293
"PRKAG3",2299
"MIR9500",65
"WNT6",1700
"WNT10A",2375
"LINC01494",1008
"CDK5R2",2528
"LINC00608",1556
"FEV",1879
"CRYBA2",885
"MIR375",64
"LOC100129175",1993
"CCDC108",8871
"IHH",2072
"MIR3131",63
"NHEJ1",2103
"SLC23A3",2418
"CNPPD1",2074
"FAM134A",4614
"ZFAND2B",1323
